publicId,uploader,thumbnailUrl,license,title,originalAuthor,description,stats.noteCount,stats.tempo,stats.duration,stats.minutesSpent,stats.nbsVersion,createdAt
ZhqmXKLrlf,Tzunamy,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/ZhqmXKLrlf.png,standard,Wintry Woods [#summit26],,"[Created for the Welded Woodlands]\r\n\r\nWith the highest part of the mountain covered in snow, many many creative individuals decided to share their own creations with the world! As they set their booths on the snowy floor, the forest started singing to them... a mysterious, yet calm melody kept them safe from the dangers of the woods.",17640,20,176.4,1694,6,2026-06-22T02:49:27.369Z
PeXxdefOtw,PlayfulPotato,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/PeXxdefOtw.png,standard,World Shattering Providence (Smithed Mix),,Remixed for Smithed Summit 2026\r\nI couldn't help myself. From the start I felt this song would fit with a couple changes. Sooo..... here we are.\r\n\r\n#summit26\r\nMinecraft IGN: LoginatorV\r\n[Welded Woodlands],15463,15,111.93333333333334,987,6,2026-06-22T02:42:02.607Z
cJmP72kUj4,reydotcast,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/cJmP72kUj4.png,standard,Welded Woodlands - With Hands Raised To The Sky,,"#summit26 [Welded Woodlands]\r\n\r\nwith hands raised to the sky aims to embody exploration and discovery in the harsh cold, having an INTENSE up and down story to it\r\nthis song is a little bit overdramatic, being the first song i made for the jam, but hey, what can i say i did a pretty good job on it",19954,16,180.9375,586,6,2026-06-22T00:34:33.202Z
Vom8RJneOC,reydotcast,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/Vom8RJneOC.png,standard,Textured Tropics - Bamboo Bossa,,"#summit26 [Textured Tropics]\r\n\r\nthis location felt like my call to stray even more from my typical style, leading me more into the percussion (which i love to neglect), making an exotic feel out of silverfish maracas and whatever sounds the bamboo hit noise represents :3",16883,22,162.95454545454547,556,6,2026-06-22T00:31:27.750Z
T6ULFE1tM0,reydotcast,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/T6ULFE1tM0.png,standard,Patched Plateaus - A Place To Be Alive (Among The Sunflowers),,"#summit26 [Patched Plateaus]\r\n\r\nthe main thing i notice about the patched plateaus is the beautiful sunflower fields that break up the city!\r\nthis song, having some loose inspiration from the Lewis Armstrong tune What A Wonderful World, aims to embody skipping through the fields and stopping to smell the flowers!",14544,16,165.0625,916,6,2026-06-22T00:12:58.479Z
lLgyRPgo8D,PScout,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/lLgyRPgo8D.png,standard,Nighttime on the Island - Tomodachi Life Living the Dream,Nintendo Sound Team,#summit26 [Patched Plateaus],1165,12.93,134.33874709976797,91,6,2026-06-21T20:44:47.341Z
RPmSebjDG2,PScout,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/RPmSebjDG2.png,standard,Wheatley Science - Portal 2,Mike Morasky,#summit26 [Welded Woodlands],8686,18.66,137.40621650589497,69,5,2026-06-21T19:53:49.454Z
zUBMrE4nAS,PScout,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/zUBMrE4nAS.png,standard,There She Is - Portal 2,Mike Morasky,#summit26 [Welded Woodlands],22080,12,259.66666666666663,171,5,2026-06-21T19:53:10.008Z
qOYdt8NUue,PScout,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/qOYdt8NUue.png,standard,Steam Gardens - Super Mario Odyssey,Koji Kondo,#summit26 [Textured Tropics],26085,20,213.60000000000002,412,6,2026-06-21T19:51:14.770Z
iRVUOIN2fn,MissxSniper,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/iRVUOIN2fn.png,standard,"Gravel, Dirt and Cobblestones",,"#summit26 [Textured Tropics]\r\nGravel, Dirt and Cobblestones - MissxSniper",2202,10,193.5,1069,5,2026-06-21T07:20:09.226Z
8dqzthf7zm,PlayfulPotato,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/8dqzthf7zm.png,standard,Fairy Fox Festival,,Made for Smithed Summit 2026\r\nTelling me there was going to be bamboo shoots in a zone is going to be the second worst mistake they ever make.\r\n\r\n#summit26\r\nMinecraft IGN: LoginatorV\r\n[Textured Tropics],13578,10,155.20000000000002,292,6,2026-06-21T04:28:52.144Z
MyNlAfauHY,PlayfulPotato,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/MyNlAfauHY.png,standard,Where The Fun Guys Go,,Made for Smithed Summit 2026\r\nWhere The Fungi Grow? Carnival Dance! What?\r\n\r\n#summit26\r\nMinecraft IGN: LoginatorV\r\n[Textured Tropics],15680,10,116.80000000000001,711,6,2026-06-21T04:21:28.435Z
XN2H7Qfrsm,PlayfulPotato,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/XN2H7Qfrsm.png,standard,"Builder Man, Builder Jam",,Made for Smithed Summit 2026\r\nWhat in the genre is this?\r\n\r\n#summit26\r\nMinecraft IGN: LoginatorV\r\n[Patched Plateaus],16806,10,128.5,647,6,2026-06-21T04:19:06.214Z
rSMsgR8NQH,PlayfulPotato,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/rSMsgR8NQH.png,standard,Do Mechanical Bees Dream of Skis,,Made for Smithed Summit 2026\r\nInspired by Louis Cole\r\n\r\n#summit26\r\nMinecraft IGN: LoginatorV\r\n[Welded Woodlands],14844,10,152.3,757,6,2026-06-21T04:16:46.997Z
PWIiyzai8B,PlayfulPotato,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/PWIiyzai8B.png,standard,Summer Dew,,Created for Smithed Summit 2026\r\nInspired By Stardew Valley\r\n\r\n#summit26\r\nMinecraft IGN: LoginatorV\r\n[Patched Plateaus]\r\n\r\n(Why can't author names have capitals I want to be PlayfulPotato this is a SCAAAMMMM),12276,10,134,416,6,2026-06-21T04:13:20.248Z
KOsyMsYF3M,techity,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/KOsyMsYF3M.png,cc_by_sa,Bedraggled,,"#summit26 [Patched Plateaus]\r\nWeek 22\r\nThey finally got trumpets babeee \r\nPlease credit me as Techity, capitalized as a normal name.",9985,20,115.15,562,6,2026-06-20T01:20:35.088Z
IN5LlK1xOI,superbaconbro,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/IN5LlK1xOI.png,cc_by_sa,scrumptiously rustic valves [#summit26],,"Relax and feel the soothing sound of scrumptiously rustic valves...\r\nComposed for the ""The Summit of One's Success"" Jam for the Smithed Summit In-Game Convention [Welded Woodlands] #summit26",34204,20,307.20000000000005,596,6,2026-06-18T08:01:15.877Z
EuY0qMDoDJ,superbaconbro,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/EuY0qMDoDJ.png,cc_by_sa,Johnny Core Conga [#summit26],,"Feel the Tropic Vibes and jive to the Johnny Core Conga!\nComposed for the ""The Summit of One's Success"" Jam for the Smithed Summit In-Game Convention [Textured Tropics] #summit26",38694,20,307.1,336,6,2026-06-18T07:58:38.114Z
UHIpXKhVVQ,superbaconbro,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/UHIpXKhVVQ.png,cc_by_sa,Super Mario Bros Wonder - Pipe Rock Plateau [#summit26},"Koji Kondo, Nauto Kubo","The Overworld Theme for Pipe Rock Plateau from Super Mario Bros Wonder\nComposed for the ""The Summit of One's Success"" Jam for the Smithed Summit In-Game Convention [Patched Plateaus] #summit26",17572,20,165.60000000000002,2001,6,2026-06-18T07:47:16.019Z
gBYTGbfqfK,stunningwheel94,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/gBYTGbfqfK.png,cc_by_sa,Super Mario 3D Land - Clocktower,Nintendo,Made for the Welded Woodlands area in the upcoming Summit event.\r\n\r\n#summit26 [Welded Woodlands]\r\nIGN: StunningWheel94\r\n(Better join the event to hear this song as I know I will),3480,10,79.60000000000001,383,6,2026-06-17T21:04:59.400Z
9fEtvgfUpe,stunningwheel94,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/9fEtvgfUpe.png,cc_by_sa,Nintendo Land Main Theme,Nintendo,Made for the Patched Plateaus area in the upcoming Summit event.\r\n\r\n#summit26 [Patched Plateaus]\r\nIGN: StunningWheel94\r\n(First song that came to mind for the Patched Plateaus),4292,10,64.3,1856,6,2026-06-17T21:00:50.696Z
xFfrpXc7X5,stunningwheel94,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/xFfrpXc7X5.png,cc_by_sa,You've Got to be Modernistic,James P. Johnson,Made for the Textured Tropics area in the upcoming Summit event.\r\n\r\n#summit26 [Textured Tropics]\r\nIGN: StunningWheel94\r\n(Hope to see you there!),5778,10,141.1,1508,6,2026-06-17T20:55:33.350Z
geym05hfr7,suluntulu,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/geym05hfr7.png,standard,The Flowers & Forestation Station,,"#summit26 [Patched Plateaus]\n\nSubmission piece for Patched Plateaus for Smithed Summit 2026.\n\n* edit: Changed submission name from ""Patched Plataeus"" to ""The Flowers & Forestation Station""",5980,20,116.80000000000001,99,6,2026-06-17T06:56:12.923Z
kppVwbwQiv,L0ndRzZz,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/kppVwbwQiv.png,standard,The Obsolescent Industrial Remains (Smithed Summit 2026 ver.),ZUN,Hi! This a remix of the Touhou 18 Unconnected Marketeers Stage 4 theme. Hope you enjoy it! :)\r\n\r\nI'm submitting this song to be played in #summit26 [Welded Woodlands],21031,20,220.8,344,5,2026-06-17T00:02:46.743Z
3gvpWPJp1S,PianoPersona,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/3gvpWPJp1S.png,cc_by_sa,amarillo (for Patched Plateau),,(for Patched Plateau)\n#summit26,19906,20,182,1809,5,2026-06-16T02:37:04.358Z
tFDamSfzGO,QueasyQuery,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/tFDamSfzGO.png,cc_by_sa,Machines Root for the Undergrowth,,"Yep, that's an original song for the [Welded Woodlands] in #summit26! I focused on the idea of nature reclaiming industrial machines, and had a night landscape in mind while composing. The composition might've run loose and wandered a bit from the real area's theme a slight bit. Whatever!",21078,20,200.4,1671,5,2026-06-15T21:25:41.624Z
f9e5Lb0YcJ,minesculptor,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/f9e5Lb0YcJ.png,standard,Stardew Valley OST - In The Deep Woods Note Block Cover #summit26,ConcernedApe,I made a note block cover of the secret woods' theme from the video game Stardew Valley. Hopefully this gets played in some autumnal forest at the Smithed Summit 2026! #summit26 [Welded Woodlands]\n\nMinecraft username: minesculptor,8357,20,121.2,2514,5,2026-06-15T07:14:55.029Z
IPW4RKVBKM,L0ndRzZz,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/IPW4RKVBKM.png,standard,Illusory Science ~ Doll's Phantom (Smithed Summit 2026 ver.),ZUN,Hi! This a remix of the Seihou Shuusou Gyoku theme (Vivit's 2nd theme). Hope you enjoy it! :)\r\n\r\nI'm submitting this song to be played in #summit26 [Welded Woodlands],10905,20,92,15,5,2026-06-15T02:21:23.406Z
zv7U78vyPa,L0ndRzZz,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/zv7U78vyPa.png,standard,Fall of Fall ~ Autumnal Waterfall (Smithed Summit 2026 ver.),ZUN,Hi! This a remix of the Touhou 10 Mountain of Faith Stage 4 theme. Hope you enjoy it! :)\r\n\r\nI'm submitting this song to be played in #summit26 [Textured Tropics],20601,20,215.20000000000002,213,5,2026-06-15T02:20:27.417Z
Paab2vqJtu,L0ndRzZz,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/Paab2vqJtu.png,standard,The Cliff Hidden in Deep Green (Smithed Summit 2026 ver.),ZUN,Hi! This a remix of the Touhou 18 Unconnected Marketeers Stage 2 theme. Hope you enjoy it! :)\r\n\r\nI'm submitting this song to be played in #summit26 [Textured Tropics],11330,20,105.60000000000001,238,5,2026-06-15T02:19:35.811Z
C36c5Rfexy,L0ndRzZz,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/C36c5Rfexy.png,standard,"Gensokyo, Past and Present ~ Flower Land (Smithed Summit 2026 ver.)",ZUN,Hi! This a remix of the Touhou 9 Phantasmagoria of Flower View theme (Yuuka Kazami's theme). Hope you enjoy it! :)\r\n\r\nI'm submitting this song to be played in #summit26 [Patched Plateaus],15820,20,154.85000000000002,114,5,2026-06-15T02:14:27.347Z
rf2ZcZUXiE,L0ndRzZz,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/rf2ZcZUXiE.png,standard,The Primal Scene of Japan the Girl Saw (Smithed Summit 2026 ver.),ZUN,Hi! This a remix of the Touhou 10 Mountain of Faith Stage 5 theme. Hope you enjoy it! :)\r\n\r\nI'm submitting this song to be played in #summit26 [Patched Plateaus],23908,20,180,268,5,2026-06-15T02:10:10.352Z
4wz5LXxSvh,Frougfrog,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/4wz5LXxSvh.png,cc_by_sa,Apex Tropicorum [#summit26],,"Original song by me. \r\n\r\nI got lazy with the naming, so I just dumped ""tropics"" into google translate, and added apex, in other words, summit, at the front.\r\n\r\n#summit26 [Textured Tropics]",12090,20,100.85000000000001,1233,5,2026-06-14T19:54:34.345Z
v75IJ5vx4c,kaliumi,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/v75IJ5vx4c.png,cc_by_sa,"Limbus Company OST - Run Bongy, Run",Studio EIM,_Jussis!_\r\n_Jussis!!_\r\n_Jussis!!!_\r\n\r\n_...Jussis?_\r\n\r\nFrom Limbus Company's 2026 April Fools event. Meant to be played at #summit26 in the [Patched Plateaus] area.\r\n\r\nMinecraft username: KaliumI,11021,20,108.95,1166,5,2026-06-12T13:10:14.321Z
CHydZWXQZw,kaliumi,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/CHydZWXQZw.png,cc_by_sa,Through the Field [#summit26],,A composition meant to be played at #summit26 in the [Patched Plateaus] area.\r\n\r\nMinecraft username: KaliumI,15251,20,136.3,1508,5,2026-06-12T13:05:19.433Z
twZvNGQd4Z,kaliumi,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/twZvNGQd4Z.png,cc_by_sa,In Flighty Steps [#summit26],,A composition meant to be played at #summit26 in the [Textured Tropics] area.\r\n\r\nMinecraft username: KaliumI,13467,20,109.65,3401,5,2026-06-12T13:03:11.155Z
Qw4h70EKw7,kaliumi,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/Qw4h70EKw7.png,cc_by_sa,Like Broken Clockwork [#summit26],,A light 5/4 composition meant to be played at #summit26 in the [Welded Woodlands] area.\r\n\r\nMinecraft username: KaliumI,13421,20,132.25,919,5,2026-06-12T12:56:52.826Z
Tav7Yeipdb,T_ufy,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/Tav7Yeipdb.png,cc_by_sa,There's a Great Big Beautiful Tomorrow,Richard and Robert Sherman,"Hey all. This is my first cover I've made using NBS! This song you may recognize if you've ever been on the Carousel of Progress in Magic Kingdom. I heard about the jam, and thought I'd like to give 'er a shot. So here, I'm gonna throw this one into Patched Plateaus! #summit26",891,10,77.10000000000001,334,5,2026-06-11T23:13:16.846Z
2ESweEbBiP,BuilderAltWCF1,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/2ESweEbBiP.png,cc_by_sa,Permafrost ( #summit26 ),,For The Summit of One's Success Jam!\r\nWill play inside [Welded Woodlands].\r\n\r\nOriginal song by me!,33122,30,345.5,300,5,2026-06-11T06:33:13.204Z
o8OfLrGOop,itikgamemix6908,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/o8OfLrGOop.png,standard,"Fun Fun Fun Dayo, Lucky Star",Satoru Kōsaki,Username: ItikGamemix6908\r\nRegion: Patched Plateaus\r\n#summit26,818,20,93.80000000000001,116,5,2026-06-10T13:10:23.085Z
CMnbfau5sn,alexzes,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/CMnbfau5sn.png,cc_by_sa,Meltdown feat.Kagamine Rin,iroha (sasaki),This is my first attempt at a cover here on NBS of one of my favorite Vocaloid songs!! I made this entirely by ear. I hope y'all enjoy it :)\r\n#summit26\r\nRegion: [Patched Plateaus],4173,10,92.80000000000001,836,5,2026-06-04T20:02:06.301Z
MiYEEv4kU7,CreeperJuice,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/MiYEEv4kU7.png,cc_by_sa,Canyon Layer (Smithed Summit 2026 ver.),Nintendo,"""Canyon Layer"" from Donkey Kong Bananza modified for Smithed Summit 2026.\n\n#summit26\n[Welded Woodlands]\nMinecraft username: Creeper_Juice\n\nI chose this song because I thought it fit the ""industrial"", ""serious"" and ""suspenseful"" themes of the Welded Woodlands prompt. I changed many instruments to make it feel cold and snowy instead of dry and canyon-y. I also slowed the song down to make it feel more serious.",7171,13.33,149.43735933983496,955,5,2026-05-26T13:32:27.190Z
xk2zkPLVbz,CreeperJuice,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/xk2zkPLVbz.png,cc_by_sa,Forest Layer: Eggshell Hotel (Smithed Summit 2026 ver.),Nintendo,"""Forest Layer: Eggshell Hotel"" from Donkey Kong Bananza modified for Smithed Summit 2026.\n\n#summit26\n[Textured Tropics]\nMinecraft username: Creeper_Juice\n\nI chose this song because I thought it fit the ""tropical"", ""warm"" and ""vacation"" themes of the Textured Tropics prompt. I changed a couple instruments to make it even more tropical and added some bamboo sounds to the percussion for the ""jungle"" and ""bamboo shoots"" parts of the prompt.\n\nNote: I haven't made a ""normal"" cover of this song. I've only made this version for Smithed Summit 2026.",3908,20,114.80000000000001,534,5,2026-05-26T13:30:31.001Z
XRppo6N96A,CreeperJuice,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/XRppo6N96A.png,cc_by_sa,Welcome To The City (Smithed Summit 2026 ver.),Toby Fox,"""Welcome To The City"" from DELTARUNE Chapter 2 modified for Smithed Summit 2026.\r\n\r\n#summit26\r\n[Patched Plateaus]\r\nMinecraft username: Creeper_Juice\r\n\r\nI chose this song because I thought it fit all the themes of the Patched Plateaus prompt (""city"", ""colorful"", ""modern"" and ""playful""). I changed some instruments and changed the main melody to a guitar so it would feel less ""cyber"" and more ""outdoor-like"".",4070,20,111.65,417,5,2026-05-26T13:24:41.559Z
wDwXIqsHYp,GamingTriz,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/wDwXIqsHYp.png,cc_by_sa,Splitting Edges of the Universe,,Another Half Decent Song I had made\n#summit26,25799,34.13,171.2569586873718,804,5,2026-05-23T00:30:38.022Z
nXU6wKWqJq,EternalD6,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/nXU6wKWqJq.png,standard,The StarDrop Saloon-ConcernedApe,ConcernedApe,Username: EternalD6\r\nRegion: [Patched Plateaus]\r\n#summit26,1709,20.32,81.1515748031496,110,5,2026-05-22T11:24:14.388Z
XaFt2fa4FB,AnAn,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/XaFt2fa4FB.png,standard,Rainie Love - Rainie Yang (Chorus),Rainie Yang,Username: Courisenz\r\nRegion: Welded Woodlands\r\n#summit26,718,10,56.1,745,5,2026-05-21T14:29:32.047Z
aI3WWwk3A0,AnAn,https://noteblockworld-thumbs-production.s3.us-east-005.backblazeb2.com/thumbs/aI3WWwk3A0.png,standard,Tò Te Tí - Wren Evans (.ft itsnk) - Verse 1,Wren Evans (.ft itsnk),Username: Courisenz\nRegion: Patched Plateaus\n#summit26,1066,20,64.35000000000001,493,5,2026-05-21T14:27:03.807Z
